Composition,Temperature (K),Strain Rate,Young's Modulus (GPa),Yield Strength (GPa),UTS (GPa),Strain at Failure
0.0,300,0.001,163.76,0.34,1.096,0.0070
0.0,500,0.001,186.05,0.26,1.018,0.0070
0.0,300,0.0005,150.8,1.05,1.05,0.00506
0.0,500,0.0005,222.29,0.325,0.537,0.00351
0.25,300,0.001,166.88,0.52,1.29,0.0089
0.25,500,0.001,217.77,0.44,0.96,0.0121
0.25,300,0.0005,167.79,0.45,0.70,0.00350
0.25,500,0.0005,318.0,0.41,0.67,0.00350
0.5,300,0.001,180.94,0.44,1.31,0.0070
0.5,500,0.001,167.0,0.34,1.22,0.0070
0.5,300,0.0005,220.0,0.85,1.10,0.0035
0.5,500,0.0005,250.0,0.80,1.00,0.0035
